village,session,date,heure,especes,etat,nombre,endroit,sex,obtenu via,obtenu comment,obtenu ou,but,prix,tue via,tue quand,tue ou,cote,km
C9,6,25.07.19,15:19:00,MPN,E,1,M,M,C,C,V,M,NA,P,J,FO,S,2
C9,6,26.07.19,15:49:00,CBL,E,1,R,M,C,C,V,V,5000,P,J,FO,N,8
E4,6,11.07.19,07:39:00,CPE,E,1,M,F,A,A,V,M,NA,NA,NA,NA,NA,NA
E4,6,11.07.19,07:39:00,CFN,E,1,M,M,A,A,V,M,NA,NA,NA,NA,NA,NA
E4,6,13.07.19,07:45:00,POT,G,2,R,NA,C,C,V,V,14000,F,N,FO,S,5
E4,6,13.07.19,07:45:00,HER,E,1,R,F,C,C,V,V,7000,F,N,FO,S,5
E4,6,13.07.19,07:48:00,CVB,E,1,R,M,C,C,V,V,12000,F,N,FF,N,5
E4,6,16.07.19,08:32:00,CPE,E,1,M,F,A,A,V,M,NA,NA,NA,NA,NA,NA
E4,6,19.07.19,07:44:00,CBL,E,1,M,M,C,C,V,V,6000,F,N,FF,N,5
E4,6,19.07.19,07:44:00,CBL,E,1,R,F,C,C,V,V,6000,F,N,FF,S,5
E4,6,19.07.19,07:44:00,CBL,E,1,R,F,C,C,V,V,NA,NA,NA,NA,NA,NA
E4,6,21.07.19,08:00:00,CPE,E,1,R,M,C,C,V,V,NA,NA,NA,NA,NA,NA
E4,6,26.07.19,07:48:00,CPE,E,1,M,F,A,A,V,M,NA,NA,NA,NA,NA,NA
E4,6,26.07.19,07:48:00,CBA,E,1,M,M,A,A,V,M,NA,NA,NA,NA,NA,NA
E4,6,26.07.19,07:48:00,CPE,E,1,R,F,C,C,V,V,14000,F,N,FF,S,6
E4,6,26.07.19,07:48:00,CBA,E,1,R,F,C,C,V,V,14000,F,N,FF,S,6
E4,6,26.07.19,07:48:00,CBL,E,1,M,F,C,C,V,V,6000,F,N,FO,N,5
E4,6,27.07.19,NA,CBL,E,1,M,F,C,C,V,V,5000,F,J,FO,N,4
E4,6,27.07.19,NA,CPE,E,1,R,M,C,C,V,V,10000,F,N,FO,S,5
E4,6,27.07.19,NA,CBA,E,1,R,F,C,C,V,V,15000,F,N,FF,N,5
E4,6,27.07.19,NA,PGE,E,1,R,F,C,C,V,V,30000,F,N,FF,N,5
E4,6,27.07.19,NA,CBA,E,1,R,F,C,C,V,V,14000,F,N,FO,N,5
E4,6,27.07.19,NA,CBA,E,1,M,F,A,A,V,NA,NA,NA,NA,NA,NA,NA
E4,6,27.07.19,NA,CPE,E,1,M,F,A,A,V,NA,NA,NA,NA,NA,NA,NA
E4,6,27.07.19,NA,CPE,E,1,M,F,A,A,V,NA,NA,NA,NA,NA,NA,NA
E4,6,27.07.19,NA,CPE,E,1,M,M,A,A,V,NA,NA,NA,NA,NA,NA,NA
E4,6,27.07.19,NA,CBA,E,1,M,M,D,D,V,NA,NA,NA,NA,NA,NA,NA
E4,6,27.07.19,NA,CPE,E,1,R,M,C,C,V,V,15000,F,N,FO,S,6
E4,6,27.07.19,NA,CBA,E,1,R,F,C,C,V,V,15000,F,N,FO,S,6
C6,6,08.07.19,07:53:00,CBL,E,1,M,M,C,C,V,M,NA,P,J,P,N,NA
C6,6,08.07.19,07:53:00,AOI,E,1,M,NA,C,C,V,M,NA,P,J,P,N,NA
C6,6,10.07.19,16:11:00,AMA,G,4,M,NA,C,C,V,M,NA,F,J,FF,S,2
C6,6,10.07.19,16:11:00,AMA,T,1,M,NA,C,C,V,M,NA,F,J,FF,S,2
C6,6,11.07.19,16:01:00,POT,MI,1,M,NA,C,C,V,V,25000,F,J,FO,S,9
C6,6,11.07.19,16:01:00,POT,E,1,M,F,C,C,V,V,40000,F,J,FO,S,9
C6,6,11.07.19,16:01:00,CBL,E,1,R,M,C,C,V,V,5000,F,J,FO,S,9
C6,6,11.07.19,16:18:00,POT,MI,1,M,M,C,C,V,V,25000,F,J,FO,S,9
